,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
0,GFAP,2.725752,30.848135,5.933701592315565e-209,SERPINE2,1.5468981,9.413186,4.813202451606864e-21,ATP1B1,0.72661674,11.881169,1.4827861374928566e-32,MAP1B,0.9510146,10.856934,1.8485338306681404e-27,SCGB2A2,1.739219,16.328196,6.21971682626164e-60,MBP,1.5358571,21.751299,6.715265444254161e-105,MBP,3.1121395,27.886738,3.864098907887047e-171
1,MT-ND1,0.5734155,30.2975,1.2366337047963794e-201,FAM107A,0.76352894,5.4264503,5.7485841259719805e-08,CARTPT,2.010144,8.126256,4.427542408503706e-16,ATP1B1,0.62664837,7.449995,9.334384037639816e-14,SCGB1D2,1.3783937,13.520416,1.1850332239801443e-41,PLP1,1.4070466,14.776869,2.0654771061126428e-49,PLP1,3.228949,24.606186,1.0845882541568932e-133
2,S100B,1.5136629,21.80586,2.041346597049217e-105,MT-ND1,0.14897649,5.324329,1.0132654680967693e-07,PLCB1,0.7479671,6.6446233,3.039940312084133e-11,HBB,1.1718477,5.9506526,2.670753220104039e-09,MAP1B,0.8560488,11.883159,1.4479020701477229e-32,SCGB2A2,1.5673841,12.796367,1.7180307671719278e-37,CRYAB,2.0906541,17.474613,2.236562311106482e-68
3,GLUL,0.96450764,18.282366,1.1435497286371962e-74,MT-ND4L,0.44896585,4.52095,6.156282213638059e-06,C1orf115,0.78866524,6.480226,9.158518037169683e-11,CPB1,1.8690666,4.8566613,1.1938160869509023e-06,MBP,0.668267,10.373942,3.257995424562033e-25,MAP1B,0.8728911,11.042099,2.393755452907115e-28,CNP,2.326925,16.014727,1.0084931728611803e-57
4,APOE,0.91553706,17.254831,1.0292207980183923e-66,CALB2,1.4174911,4.3158298,1.590046302645345e-05,MAP1B,0.5772445,6.3679495,1.91571992438957e-10,STX1B,0.55366236,3.9998686,6.337764436573502e-05,PLP1,0.62347037,7.1823506,6.852289792966754e-13,SCGB1D2,1.262858,10.722419,7.988636503620891e-27,GFAP,1.7935356,15.841994,1.596764040830958e-56
5,SNORC,2.1132505,16.81273,1.9689008506053707e-63,CNR1,1.0963402,4.278776,1.8792353233582015e-05,MT-ND1,0.08932668,5.1697598,2.3439539533808974e-07,SCGB2A2,0.6987733,3.651149,0.0002610695981296636,KRT19,0.6873619,6.877847,6.076384394070678e-12,TF,1.2862928,8.54718,1.261320163308899e-17,S100A11,2.3072956,14.657418,1.2077818273793398e-48
6,MT-ND4L,0.66186154,16.696247,1.3957266044024057e-62,CXCL14,0.6113444,3.9142132,9.069949098296291e-05,COPG1,0.7434608,4.7219896,2.335486401048139e-06,KRT19,0.49441367,3.5506377,0.00038429908207621264,TFF3,0.78280044,6.8020825,1.0311748146094542e-11,CNP,0.8637135,7.626633,2.4096374994937008e-14,MOBP,3.2004812,14.598802,2.8582425413614976e-48
7,MT2A,1.2145854,16.086533,3.171077346734766e-58,NECAB2,0.9022031,3.8781831,0.00010523948245072691,EIF1B,0.47112927,4.7132983,2.437390119152523e-06,IFI6,0.53379816,3.259532,0.00111596239325087,MUC1,0.667363,6.4055533,1.498249634521556e-10,MOBP,1.0890428,6.569919,5.034265509454576e-11,KRT8,2.3232107,14.0127945,1.3017978059768504e-44
8,CXCL14,1.7167505,15.187309,4.291778236224169e-52,IGFBP4,0.8724718,3.8414223,0.00012232345717116367,TPD52,0.55088264,4.1860666,2.838297956510236e-05,FNDC4,0.6212711,3.0004487,0.002695822386355616,XBP1,0.6888789,5.6818757,1.3322557030627167e-08,CLDND1,0.8813244,5.6730447,1.4028170132945045e-08,SCGB2A2,1.9184964,13.887984,7.491441768647029e-44
9,AQP4,2.1324332,14.536857,7.076825311641306e-48,CPNE6,1.0215361,3.7222967,0.0001974188295661288,MPRIP,0.4897565,4.1231523,3.737224251017367e-05,GNB5,0.6534587,2.9397755,0.003284501127636836,PLEKHB2,0.63332975,5.3793507,7.475489032232851e-08,COL1A2,0.8888089,4.5906816,4.4180098641196935e-06,RPS12,0.65405554,13.414568,4.96820281600637e-41
10,MALAT1,0.7626259,14.280839,2.8811176956491686e-46,UBL3,0.7377852,3.6863642,0.0002274807748234264,SDCBP,0.48906347,4.105059,4.042111531366453e-05,PLCB1,0.55002755,2.9350636,0.0033347922650885085,STX1B,0.58271426,5.2838492,1.264972867439536e-07,CLDN11,1.2052957,4.5419726,5.573024969665549e-06,RPL10,0.77905226,12.779137,2.144358228500113e-37
11,VIM,1.7553201,14.21962,6.922770286808678e-46,ATP1B2,0.5334482,3.6208816,0.000293600821748329,SPCS1,0.38942075,4.094376,4.2330645158292874e-05,TSPAN13,0.55914533,2.9009867,0.0037198964330476263,ATP1B1,0.46454814,5.255319,1.477678368623058e-07,PPP1R14A,0.8050082,4.476033,7.604271265790677e-06,TF,2.434555,12.4126005,2.232802015297752e-35
12,METRN,1.1494136,14.079894,5.0485295741001735e-45,MALAT1,0.36605433,3.5493577,0.00038617231593402585,SERPINE2,0.40288213,4.0455713,5.219570899152614e-05,HLA-C,0.39207876,2.691143,0.0071207639416196195,HBA2,0.7766846,5.0727134,3.9218259348055116e-07,SPP1,0.94671535,4.345636,1.388728630160364e-05,KRT18,2.2451105,12.408345,2.3546792544523266e-35
13,MT1G,2.051602,13.420726,4.5721339749080507e-41,SST,0.66119736,3.4227045,0.0006200145791890224,MAPK9,0.4276958,3.928684,8.541195624648221e-05,FAM32A,0.76899153,2.6296885,0.008546315129572614,AZGP1,0.6912306,5.0644884,4.094985860148381e-07,SEPT4,0.6404091,4.249937,2.1383040309418416e-05,S100B,1.0866019,10.841374,2.191546247788751e-27
14,SPARC,1.6414052,12.579194,2.7482039822549833e-36,ATG13,1.0410266,3.3590734,0.0007820431109735955,CPNE6,0.6812179,3.8501418,0.00011804942118383417,NUPR1,0.4298178,2.6285272,0.00857554878652033,TFF1,0.6296262,5.0093727,5.460769478184497e-07,RPS12,0.255155,4.1209626,3.772925775744012e-05,SEPT4,2.1058505,10.733539,7.08308878148217e-27
15,SPARCL1,0.39766437,12.091837,1.1664866367559592e-33,NTRK2,0.41608268,3.0182135,0.0025426978501438065,ISG15,0.43437588,3.8410327,0.00012251778454641722,CCM2,0.55988646,2.6120694,0.008999599546259672,WASF3,0.7130983,4.7125955,2.445814890629017e-06,RNASE1,0.6125737,3.985072,6.745966614646468e-05,PPP1R14A,2.371794,10.680542,1.255362330607873e-26
16,GPM6B,0.76429707,11.766523,5.806877191018841e-32,LMTK2,0.80813897,2.9526334,0.0031507587197519933,MADD,0.44596446,3.8166301,0.00013528671706822406,GUCY1A2,0.969053,2.5334644,0.011294116823096815,CXXC5,0.6497187,4.6861305,2.784190242478851e-06,TFF1,0.62115437,3.9120188,9.152783204856348e-05,PTMA,0.8524078,10.643588,1.8679423310659736e-26
17,GJA1,1.4032942,10.636409,2.017572580529148e-26,DPF1,0.9012608,2.9421582,0.003259334016842875,TSPAN13,0.40794918,3.7697055,0.0001634403437662883,GRSF1,0.51044416,2.520669,0.011713200238832672,NDUFS8,0.50560105,4.6823792,2.835644561653812e-06,MAG,0.8818138,3.726866,0.00019387551955872846,SCD,1.3070807,9.826687,8.641500524517366e-23
18,AGT,1.7259212,10.145891,3.456096127255491e-24,PABPC1,0.42047757,2.9157264,0.0035486151319558457,KCNH3,0.56079274,3.76029,0.00016971661602176885,HBA2,0.43359295,2.4594598,0.013914624664354251,TF,0.4939134,4.3568826,1.3192811131595701e-05,CTGF,1.9327308,3.6051235,0.0003120044574404362,B2M,0.8823655,9.645808,5.120630654153303e-22
19,FABP4,2.2328475,10.0317545,1.1053506029330271e-23,TMEM65,0.909295,2.8310962,0.004638878036461488,FNDC4,0.47225526,3.707334,0.00020945255995747814,CCDC184,0.70630646,2.4358785,0.0148556758979342,ISG15,0.62277734,4.291494,1.7747502888654e-05,MAPK9,0.5576193,3.5354888,0.00040702160627472685,MAG,2.7325895,9.457306,3.15978007291569e-21
20,FABP7,2.075279,10.024826,1.1856801847020336e-23,SHANK3,0.6980424,2.7603273,0.005774349150114426,TPRG1L,0.37234774,3.681274,0.0002320713941323217,TFF3,0.34173414,2.3725257,0.017666937015808792,NUPR1,0.52722144,4.2240577,2.399424183780925e-05,TP53INP2,0.9840438,3.4812076,0.000499158528977591,MARCKSL1,1.2111806,8.830477,1.0423052654210593e-18
21,SAA1,1.8614322,9.127024,7.040820128961332e-20,MTPN,0.4489471,2.6482177,0.008091741442558326,CPB1,1.0656047,3.5958233,0.00032336716438408715,SLC38A1,0.48492986,2.273421,0.0230008193828824,RPS27L,0.58139116,4.0905795,4.3029682157980796e-05,TAGLN2,0.739509,3.4626527,0.0005348781884268336,SCGB1D2,1.1741222,8.707145,3.116241280722628e-18
22,ATP1A2,0.8554928,8.35514,6.535556458571743e-17,MT2A,0.37626934,2.6166945,0.008878578479507702,GRIA3,0.55654126,3.5680084,0.0003597050186066115,LRP11,0.7585249,2.2570972,0.024002005408107784,MAPK9,0.56885785,4.070791,4.6853807948727155e-05,SPARCL1,0.28311208,3.460321,0.0005395316807882452,KRT19,1.0310874,8.326228,8.345911770538562e-17
23,SCD,0.731688,8.000724,1.2368947961536172e-15,DGCR6L,0.48502955,2.5358157,0.011218575528710929,CAMK1G,0.7296786,3.515554,0.0004388374341835483,SLC39A6,0.49650276,2.2383838,0.02519603517159457,KRT8,0.40704024,3.9908621,6.583355971478178e-05,LINC00844,0.78248334,3.316625,0.0009111177300953357,RPS15A,0.5968648,8.2885,1.146853970028173e-16
24,RPS12,0.13656157,7.9334555,2.1313121230113013e-15,C1orf115,0.5364215,2.5194695,0.011753184295805947,OPTN,0.35754374,3.430563,0.000602330099405834,LTF,0.72999007,2.187313,0.028719679738830963,MOBP,0.48508704,3.9759948,7.008565320884248e-05,AGR3,0.9667978,3.2505076,0.001151991772376621,MUC1,1.1780691,8.109601,5.078623471901695e-16
25,MT1M,1.3927518,7.7543483,8.879834694402275e-15,BAP1,0.5484004,2.3230948,0.02017405263979933,VPS29,0.4149462,3.4285433,0.0006068295533821292,VDAC2,0.32824484,2.1687784,0.03009951360911256,HBB,0.7906328,3.8248444,0.00013085475585336809,PLEKHB2,0.44888195,3.1451464,0.0016600371850767962,SPP1,2.336808,8.005406,1.1907288014536611e-15
26,RPL10,0.048440397,7.145001,8.999527477545332e-13,SYNE1,0.6180442,2.3012674,0.02137651935957551,DPF1,0.6605737,3.4087234,0.0006526765005119219,AZGP1,0.41068023,2.077043,0.03779759232784334,SEPT4,0.45185593,3.7701073,0.00016317736947998835,HBA1,0.7523633,3.1409178,0.001684193213090977,CLDND1,1.7821889,7.9596004,1.725954298225668e-15
27,MT1E,0.94038767,7.142367,9.173725945568865e-13,MT1M,0.40268698,2.3005366,0.0214178381342928,SHANK3,0.5143163,3.2545917,0.0011355549846122255,TPRG1L,0.32119724,1.9642719,0.04949857252895021,FXYD3,0.75287527,3.7479956,0.00017825331106081983,MAL,0.87487113,3.127876,0.0017607442065917605,BCAS1,2.4176164,7.8043895,5.9790324897071874e-15
28,ATP1B2,0.72794086,7.0415754,1.9007836240840525e-12,ZDHHC8,0.85062957,2.2171974,0.02660960390070969,WIPF2,0.5581341,3.214659,0.001305995701880106,IFI27,0.28026003,1.9446876,0.05181258231985691,AGR3,0.8852753,3.6231039,0.0002910889322911352,MGP,0.372037,3.116672,0.0018290492883481723,RNASE1,1.6493018,7.7408576,9.874840369997592e-15
29,PTN,0.9289282,6.8216343,9.001051413625644e-12,C9orf78,0.6143296,2.1748335,0.029642592900397755,STX1B,0.30998802,3.1968584,0.0013893306119482079,ISG15,0.42560986,1.9300163,0.05360482511590317,MLPH,0.68418175,3.6096303,0.0003066336591089012,RAC1,0.34433654,3.1059225,0.0018968642191159772,APOD,1.207791,7.6653113,1.7839791260148378e-14
30,B2M,0.26577178,6.4315896,1.262763630448151e-10,ATP1A2,0.32101303,2.1508865,0.03148515015995856,VDAC2,0.30738172,3.1784592,0.0014806010751829465,PNMA3,0.67412746,1.9036658,0.05695372779716022,CLDND1,0.42925844,3.6048295,0.00031235797106715483,BCAS1,0.8183317,3.0546646,0.0022531231348512297,ERMN,3.02945,7.5289865,5.113560924964024e-14
31,GSTM5,2.354235,6.190322,6.004154199604794e-10,RAC1,0.33331984,2.1485236,0.031672184149313526,GRSF1,0.38761982,3.1636531,0.0015580231950129985,GRN,0.44674262,1.8827417,0.05973538149749175,OPTN,0.4647974,3.5517273,0.0003827114561807814,MUC1,0.36004794,3.0112514,0.0026017321756134594,CLDN11,2.400352,7.269581,3.60605221067269e-13
32,MLC1,1.5027297,6.169953,6.831043548142026e-10,MYH10,0.5426008,2.1261358,0.03349195542758877,SYNE1,0.43891743,3.1026886,0.0019177128345727753,CRACR2B,0.9607303,1.82486,0.06802216340977685,TPRG1L,0.3996105,3.2128258,0.0013143595793810453,OPTN,0.46105483,2.9993362,0.002705685896012011,MALAT1,0.38197386,6.8619266,6.79380904463385e-12
33,FAM107A,0.5573144,5.820454,5.868786809800594e-09,TP53I11,0.92830664,2.1068175,0.035133405371516636,TMEM65,0.63683176,3.0817683,0.002057750113504039,GOLGA7B,0.49009413,1.7903811,0.07339267656163782,MADD,0.4698592,3.1860337,0.0014423774175371567,S100A10,0.6230161,2.9570494,0.0031059833299923495,NUPR1,1.3697379,6.824972,8.794223957907024e-12
34,RELN,2.637563,5.5843425,2.3458578707157632e-08,GLUD1,0.31975043,2.1046007,0.03532608897907245,CYSTM1,0.35603738,3.0458329,0.002320367168423784,MAP4K4,0.46165633,1.7209542,0.0852591304568375,DST,0.48055378,3.1604118,0.001575462592933297,CRYAB,0.27902412,2.9051394,0.0036708949131727432,PAQR6,1.5914971,6.7953,1.0808739726075404e-11
35,CRYAB,0.3235145,5.467045,4.575997646061135e-08,PPP1R1B,0.4122863,2.057462,0.03964181086672419,NECAB2,0.38931933,3.0418215,0.002351512421458709,PITPNA,0.35800636,1.7064614,0.08792219554484067,ELL2,0.85556453,3.1325529,0.0017329316218937913,MTPN,0.3974725,2.8798268,0.00397893824536779,AGR2,1.9927515,6.438002,1.2105616428103534e-10
36,ADIRF,0.827347,5.3736763,7.714730316911454e-08,KAT8,0.7523351,2.0516396,0.04020469463076279,MYH10,0.46135914,3.0414455,0.0023544518278116396,TFF1,0.26237053,1.6956756,0.08994732596027563,KRT18,0.3517289,3.1209552,0.0018026550740049062,SCD,0.3101189,2.8342004,0.004594050219545879,ENPP2,2.1114762,6.4259424,1.3105519796399202e-10
37,GPRC5B,0.7823424,5.0863867,3.649498143728179e-07,FBXW4,0.8654977,2.0354395,0.04180666440709013,SST,0.34042725,3.0392308,0.0023718300135150165,FAM229B,0.43190518,1.683215,0.09233348172959169,VDAC2,0.37174112,3.0561516,0.002241977583565888,APOD,0.33429998,2.8213959,0.004781515547955891,SELENOP,1.9247731,6.4158616,1.4002845992996236e-10
38,CSRP1,0.5269928,5.0781336,3.8116064529823915e-07,AP1M1,0.45432088,1.9037924,0.056937227311894836,VIP,0.89831066,2.874291,0.004049358465872012,IFITM3,0.23162954,1.6805799,0.09284453624774144,SLC38A1,0.49491447,3.0526586,0.002268238126170652,COL1A1,0.5234552,2.8185701,0.004823806428787599,RPS16,0.50968903,6.351579,2.1311572556398561e-10
39,RPS15A,0.049977195,4.91748,8.766543425521858e-07,JADE2,0.7162738,1.8824764,0.05977135188175314,CALB2,0.5824626,2.830291,0.004650567319474475,ZNF593,0.45332074,1.6798654,0.0929835179842194,HBA1,0.6082744,2.9089935,0.0036259454519270737,S100A11,0.3457975,2.7554166,0.005861742943044741,CCND1,1.9678649,6.2406487,4.3575926528768906e-10
40,PON2,1.22518,4.787747,1.6866407645646581e-06,MYH9,0.41229934,1.862208,0.06257376766447188,MTPN,0.26764596,2.827589,0.004689998128717405,MPC1,0.3195699,1.6658416,0.09574498195156547,HLA-B,0.3099096,2.8948317,0.0037936196811370055,PMP22,0.6003145,2.7518005,0.005926859976236244,EDIL3,1.6258974,6.1783233,6.478597421606649e-10
41,FBXO2,0.49463233,4.74396,2.095802975253789e-06,FRY,0.69080245,1.8573358,0.06326338612098072,GNB5,0.38796195,2.8153737,0.004872053288769983,HLA-B,0.23359032,1.6454757,0.09987174236265327,WARS,0.56583416,2.8819604,0.003952093708907888,DST,0.47709474,2.6176686,0.008853274428621053,PMP22,1.9035511,6.0625005,1.3402121453554393e-09
42,ALDH6A1,1.1122224,4.624268,3.7592379630009814e-06,CAMK1G,0.64517313,1.8524393,0.06396276872953024,LMTK2,0.47245613,2.8086603,0.004974811135301432,UBL3,0.28575167,1.5970176,0.11026177236339847,AP1B1,0.5538965,2.8735633,0.00405869900120715,CD9,0.5209261,2.5052135,0.012237750323440481,NDRG1,1.8681396,6.046026,1.4846200584271312e-09
43,CTSH,1.5323862,4.5606227,5.100217551158274e-06,EPM2AIP1,0.5992854,1.8447655,0.06507165084397759,CCDC184,0.5329898,2.769271,0.005618191937276106,TSC1,0.95316154,1.5954322,0.11061562965947949,HRK,1.8983352,2.8629806,0.004196762962252462,LAMP2,0.5540984,2.4766204,0.013263283508773805,CD9,1.7537583,6.045571,1.488817153000651e-09
44,ID3,1.8751386,4.483265,7.350957456927292e-06,PTN,0.28207332,1.7706105,0.07662549696427165,MT-ND4L,0.28126845,2.730536,0.006323143980352825,COPG1,0.40349272,1.5847133,0.11303148434837569,SPP1,0.4522835,2.8086393,0.004975134611598564,ENPP2,0.62964904,2.4633021,0.013766384015393138,MAL,2.1138723,5.992962,2.0605339960221585e-09
45,NTRK2,0.31445354,4.2709227,1.9466611676170116e-05,LETM1,0.5999055,1.7528757,0.07962335663873427,LRRFIP1,0.61645466,2.6619804,0.007768240506256197,NEU1,0.6679004,1.5692827,0.11658209149924188,CD24,0.62785184,2.7908297,0.005257314098331834,FN1,0.45138043,2.453758,0.014137207949069223,MOG,2.6718614,5.9315915,3.0001194173967378e-09
46,MGST1,1.232235,4.175718,2.970477573647688e-05,ELK1,0.6400073,1.7348241,0.08277196776979222,AP1M1,0.38948768,2.6252234,0.008659214284411224,SETD3,0.5692762,1.563298,0.11798252501579405,NEAT1,0.3792141,2.7062721,0.00680432786846751,ERMN,0.79425323,2.4471185,0.014400344498145782,CD74,0.91204494,5.922808,3.1648971558439876e-09
47,GSN,0.6555841,4.152252,3.2921945331159955e-05,SURF4,0.4841342,1.6950668,0.09006274138518436,RAB11FIP3,0.483369,2.613245,0.008968699915884918,SPARCL1,0.12773903,1.5621591,0.11825051406629872,SST,0.38289163,2.6989071,0.006956756253373123,TMEM144,0.8098829,2.4233077,0.015379897728439717,TMEM144,2.4396913,5.9172106,3.2744733804451013e-09
48,MT1F,1.4005737,4.0904903,4.304620864271104e-05,C15orf61,0.48699525,1.6932154,0.0904144739389128,IGFBP6,0.38512617,2.481357,0.013088321622952467,HPF1,0.6511336,1.5318784,0.12555245050849054,HNRNPAB,0.64906836,2.684883,0.007255516755707832,IFI6,0.3434119,2.3974218,0.01651090557581961,APOE,0.40031052,5.858708,4.664829207680672e-09
49,MT1X,0.92168105,3.9610448,7.462253693429956e-05,SLC2A1,0.49758595,1.6672952,0.09545571362058801,SDC3,0.28628963,2.478627,0.013188913757887897,MYH10,0.3705771,1.5116912,0.1306124307495537,LIMK1,0.49122402,2.6045759,0.009198806023156364,QKI,0.3153447,2.3761005,0.017496693417006586,COL1A1,1.5643295,5.772034,7.832019788751232e-09
50,MSX1,2.874925,3.9541488,7.680764108850399e-05,KCTD15,1.2776654,1.6552852,0.09786665289155003,PLEKHB2,0.21615848,2.386017,0.017031956722327147,NECAB3,0.4094466,1.5077387,0.13162142730600118,EIF1B,0.3108607,2.5976756,0.009385710589427424,OPALIN,0.9021993,2.3646002,0.01804954643777502,CSRP1,0.8457264,5.7046113,1.1660879357378995e-08
51,GATM,0.95125735,3.845599,0.00012025834236467448,PLEKHB2,0.27012852,1.5919952,0.11138578261027302,EHBP1L1,0.50729346,2.368927,0.017839773535750243,MUC1,0.203621,1.4684362,0.1419857611463543,IGKC,0.24077442,2.5873682,0.009671214178788546,HBA2,0.39746803,2.3367581,0.019451766784427,PIP,2.3919954,5.6267443,1.8364283829945605e-08
52,LGALS3,1.114608,3.8425817,0.00012174678678793393,KCNK12,0.6728671,1.5908259,0.1116487689025047,WARS,0.36841187,2.292293,0.02188874148162575,XBP1,0.22792415,1.4554397,0.14554758428480036,MTPN,0.29825976,2.5799348,0.009881899118930674,CARNS1,0.94923973,2.3202386,0.020327974648048756,RPS5,0.37595358,5.4753327,4.366898425289081e-08
53,TSC22D4,0.5683669,3.8041425,0.0001422962669607262,CXXC5,0.28006476,1.5793275,0.11426096840394423,FRY,0.46315193,2.2221496,0.02627319605639787,SDCBP,0.22469719,1.4451897,0.14840458972346446,GATA3,0.6632313,2.571417,0.010128328267127179,TSPAN13,0.3644651,2.2892349,0.022065708961455658,CARNS1,2.6422255,5.433805,5.516480479718149e-08
54,GPR37L1,0.94904655,3.7325954,0.00018951687543367567,STX1B,0.2616674,1.5717756,0.1160026200004142,NIPSNAP1,0.41664657,2.2175672,0.02658435801508366,GAMT,0.3022654,1.4417732,0.14936638319828427,ADAP1,0.38959405,2.535264,0.011236257577319369,ABHD12,0.38718414,2.2726562,0.023046911952246556,LINC00844,1.7378705,5.4019938,6.590421973523235e-08
55,F3,1.570517,3.667274,0.000245150068073168,SPCS1,0.2652099,1.5639557,0.11782799033893387,PNMA3,0.47042212,2.2171354,0.02661384066286138,EIF1B,0.21251886,1.4289329,0.1530235310792506,GNB5,0.4397308,2.5285532,0.011453372980118965,PAQR6,0.35905293,2.2666688,0.023410467430836527,MYRF,2.6045802,5.3013034,1.14978866781368e-07
56,ADD3,1.0470738,3.6491559,0.0002631035489549516,METRN,0.2180943,1.5543574,0.12009919685632033,CCM2,0.26268858,2.2158818,0.026699595518185553,H1F0,0.40029204,1.4195092,0.1557506118003652,PITPNA,0.36462772,2.5210335,0.011701070406540448,PITPNA,0.386245,2.23938,0.02513120257369798,LHPP,1.5583347,5.268673,1.3741366240219851e-07
57,G0S2,1.9114132,3.6398811,0.00027276392118454957,STK11,0.48505843,1.5103126,0.13096368542441592,NDUFS8,0.21107417,2.2131658,0.02688621671666514,LIMK1,0.35584468,1.413145,0.15761312186510068,BCAS1,0.4803249,2.490473,0.012757317483852839,KCNN1,0.6127625,2.238313,0.025200655152025492,HLA-B,0.7685441,5.202479,1.9664786305285092e-07
58,AHNAK,1.5128962,3.6343899,0.0002786393237439214,SETD3,0.6861445,1.5071944,0.13176084655829412,STK11,0.36401758,2.093883,0.03627039923404064,NDUFS8,0.21465874,1.4105322,0.15838259868057303,CCDC184,0.5871495,2.4381967,0.014760739129751801,GSN,0.27827218,2.1546288,0.03119090627738846,LAMP2,1.6411679,5.18539,2.1556352343521334e-07
59,RPS16,0.01963688,3.546209,0.00039081599989718196,RNF44,0.52843106,1.4979858,0.1341369201940118,PRKDC,0.40820196,2.0895236,0.036660627789236115,RAC1,0.22497326,1.4057981,0.15978410565827406,HINT3,0.44482616,2.432759,0.014984264461882354,HIPK2,0.50641704,2.1533244,0.03129318730534936,IFI27,0.8940048,5.1105943,3.211467996704106e-07
60,PLEKHB1,0.5208304,3.328503,0.0008731408151270614,MYO1B,1.0895475,1.4974012,0.13428889358310092,NECAB3,0.32105702,2.0877407,0.036821237424804566,WIPF2,0.34538978,1.3775717,0.16833554500309067,CNDP1,0.60765064,2.3381524,0.019379342602438038,CNDP1,0.6857297,2.1430097,0.03211232274297045,IFITM3,0.91514564,5.097738,3.4373634844603396e-07
61,CLDN10,1.3360584,3.2839336,0.0010236900535394462,SAA1,0.2648719,1.4929432,0.13545207231443357,DGCR6L,0.20496671,2.0865567,0.03692822306932419,CLDN3,0.8037641,1.3690637,0.17097936974804584,NCOR1,0.32734132,2.3344529,0.01957202407921082,COL3A1,0.60890865,2.14297,0.03211549619834791,OPALIN,2.2672167,5.0226693,5.095821506623406e-07
62,PLPP3,1.1593139,3.2539709,0.0011380399210067593,WASF3,0.2993443,1.4833449,0.13798280423732867,RAC1,0.2169443,2.0665696,0.03877473946838868,LRRC75A,0.28525296,1.3671433,0.17158041759912612,SPCS1,0.27588505,2.3212547,0.020273102801308878,ZNF593,0.46989563,2.0369766,0.04165238561381785,CNDP1,2.0593016,5.021122,5.137049680089712e-07
63,MARCKSL1,0.26931322,3.1035335,0.001912245470199933,LRRC41,0.5632455,1.4733325,0.1406614057064743,REPS2,0.28107953,2.0657756,0.0388496770053016,POP7,0.39004874,1.3417306,0.1796833476844384,GRIA3,0.38274026,2.305527,0.02113707416852124,NPY,0.6477176,2.0310683,0.04224806413415414,FN1,1.4073111,4.9937706,5.921170377188989e-07
64,PLIN1,2.018942,3.0839467,0.0020427418135861037,NCAN,0.3528606,1.4446839,0.14854670020765165,ABHD12,0.23350392,2.0523765,0.040133091916177144,EXTL2,0.5914693,1.3290913,0.18381783527202722,GAMT,0.3047161,2.2819529,0.022492127544327275,RASSF2,0.888997,2.0219588,0.0431805992218727,QKI,0.94821185,4.9671474,6.794493785527645e-07
65,MT1H,4.9558725,2.955347,0.003123173938667886,MUM1,0.3809196,1.4400553,0.14985176060046973,NCOR1,0.22516312,2.043699,0.040983286490407715,RARRES3,0.38596845,1.3121868,0.18945709990869974,FN1,0.30811417,2.2786145,0.022689988818075678,FXYD3,0.63271517,2.0188367,0.04350418662928658,EVI2A,2.4599116,4.876287,1.0810127091857805e-06
66,MYL9,1.1114053,2.8193727,0.004811762434150975,IGFBP6,0.4343039,1.4325277,0.15199285358650388,ELK1,0.42196426,2.0174022,0.04365355245104659,MRPL47,0.53545606,1.2510672,0.21090998612561151,REPS2,0.452859,2.265365,0.023490303727237143,KLK6,1.1158589,1.9996694,0.0455359721231661,GSN,0.9059674,4.852463,1.2193775278882327e-06
67,HLA-A,0.27191034,2.7262912,0.0064050463057421245,GAREM1,1.215004,1.4323329,0.15204859413541982,DBNL,0.3148679,2.0032928,0.0451458708490569,BAP1,0.3215656,1.2402589,0.2148796234791358,ENPP2,0.47643682,2.2629557,0.023638418197559605,EIF1B,0.25539625,1.970859,0.04873999428864288,PLLP,1.9573767,4.8363523,1.3224353821215114e-06
68,CFD,1.1975678,2.68161,0.0073268778023057425,CDO1,0.5760621,1.4176431,0.1562949891753478,UBL3,0.20350309,1.9883754,0.04677017824802201,TPD52,0.23336162,1.2231982,0.22125486392765692,IGHA1,0.33812758,2.257742,0.023961757404349946,MAP4K4,0.55297667,1.9609988,0.049879165300528924,GPM6B,0.3865149,4.7728434,1.816432015099537e-06
69,STOM,1.0051531,2.6763902,0.007441993866045473,KCNH3,0.31994942,1.4081666,0.15908172862505943,ARFIP2,0.355244,1.9719539,0.04861486842708245,ALDH5A1,0.42495027,1.2219923,0.22171054592579997,SCUBE2,0.7219498,2.244905,0.024774226333524538,AZGP1,0.28657386,1.9605443,0.049932205941038386,TPPP3,1.5516312,4.6102138,4.022549954053854e-06
70,CD99,0.84395736,2.6350615,0.008412203824143405,ZRANB1,0.6405635,1.4040009,0.16031857852579123,GUCY1A2,0.4497908,1.8355671,0.06642170787010068,ABHD12,0.21698959,1.2214787,0.22190483674084127,RAC1,0.24387378,2.2377124,0.025239818721081667,ABLIM1,0.49971303,1.9572048,0.050323391472172296,OLIG1,1.1516874,4.6046844,4.130918576456945e-06
71,PLIN4,1.8370758,2.5794299,0.00989635843745802,AP001999.1,2.6045756,1.3768626,0.16855470416472929,A2M,0.16223758,1.8142846,0.0696339352623611,CD24,0.37359047,1.1972272,0.23121797280712997,AGR2,0.35681176,2.213863,0.026838218962244913,IGLC2,0.54769605,1.9472852,0.05150054909421776,COL1A2,1.3150667,4.5777426,4.70020598558335e-06
