,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
398,PTGER1,2.0104027,0.06977515,0.9443726260973753,PROX1,0.23672566,0.19678864,0.8439929458276637,ARHGAP39,-0.055465885,0.14433993,0.8852320502796234,CSKMT,-0.032738455,0.17616858,0.8601615031963247,HLA-A,0.053365476,0.40860882,0.6828267517530195,TMCO4,0.79638493,0.2572971,0.7969494239752732,AC021851.1,3.9661264,0.16019459,0.8727277874271727
399,AC008040.5,1.8976064,0.06977515,0.9443726260973753,NCAPG2,0.48809502,0.1937435,0.8463767276509867,BGLAP,2.1919858,0.14219496,0.8869260160047728,AC009404.1,1.4139713,0.17572196,0.8605123797786562,ITPR3,0.7199381,0.40749034,0.6836478870017211,MRPL47,0.0044477154,0.25587437,0.7980478401836035,AC022182.2,4.0550337,0.16019459,0.8727277874271727
400,CD3G,1.9038244,0.06977515,0.9443726260973753,BRWD3,0.47871378,0.1931832,0.8468154973752853,LINC01607,1.5921475,0.14202781,0.8870580351343273,SELENOP,-0.1125628,0.17565498,0.8605650136428246,FLYWCH2,0.07488514,0.4074215,0.6836984306372287,VASP,0.19812709,0.2530882,0.8002000618433986,IDH2-DT,4.2090607,0.16019459,0.8727277874271727
401,VGLL3,1.6509277,0.06974322,0.9443980377739051,SPINT1-AS1,0.32346398,0.1908689,0.8486283088773936,LINC00595,0.10724238,0.14199996,0.8870800386273776,FKBP10,0.1750786,0.17284128,0.8627761924101794,ARMH4,1.045928,0.40730107,0.6837868854098765,RRM2,1.0562081,0.25067747,0.8020634934779887,AL445228.2,4.3711696,0.16019459,0.8727277874271727
402,SYPL2,1.5263641,0.06974322,0.9443980377739051,PRSS35,0.70236015,0.18792121,0.8509384167798852,DNAH2,1.312338,0.14183281,0.887212061412903,VPS29,0.0070710164,0.17252864,0.8630219456460889,CSF1,0.5200246,0.4066988,0.6842292243476618,CNKSR1,0.9848267,0.2475751,0.8044631722671521,AL139384.1,4.0640607,0.16019459,0.8727277874271727
403,HOMER3-AS1,1.79205,0.06974322,0.9443980377739051,SRPX,0.6475684,0.18777505,0.8510530010538193,ESRP2,0.06829846,0.14133139,0.8876081485336671,LETM1,-0.07219686,0.17212668,0.8633379335669407,TUBA1C,0.24049632,0.40585563,0.6848486808743321,HLA-DOB,2.4231153,0.24755535,0.8044784627778658,CFAP47,4.139584,0.16019459,0.8727277874271727
404,ENO3,1.0139636,0.06749241,0.9461897020743748,GATA2,0.46822274,0.18714166,0.8515495692190612,ROPN1B,0.7034636,0.14108068,0.8878062026265405,AL513217.1,1.1897484,0.17197037,0.8634608236655084,CA2,-0.04601163,0.39768207,0.6908645505432627,TNIP3,2.2029526,0.24735774,0.8046313719979297,LINC02199,3.8706686,0.16019459,0.8727277874271727
405,RRM2,0.6983264,0.06714122,0.9464692773104043,PTPRZ1,-0.070014045,0.18687369,0.8517596734815815,CLIC2,0.19567369,0.13790502,0.8903154900502623,VWF,-0.099123836,0.17185871,0.863548604330094,ZNF33B,0.51767784,0.39644313,0.6917781475342808,HMGCS2,1.296398,0.24409732,0.8071554490219129,ADGRG6,3.7046554,0.16014908,0.8727636362037389
406,COTL1,0.41405258,0.06556086,0.94772744695639,LINC01353,3.9634042,0.18356058,0.854358190831042,S100G,-0.14735824,0.13759859,0.8905576728175276,SLCO2B1,0.0999746,0.1714121,0.863899743822043,KRT7,0.19330871,0.39412013,0.6934923507274894,FGD3,0.22452633,0.24312907,0.8079054115623854,CXCL3,3.7476492,0.16010357,0.8727994852415846
407,EDN1,1.081583,0.064539224,0.9485408787271196,CNGA3,3.3587093,0.18356058,0.854358190831042,IGLC2,-0.16505335,0.13752894,0.89061271578047,FGD3,0.2961973,0.17056352,0.8645669828626222,SIL1,0.07678313,0.3935695,0.6938989108670364,PLAGL1,0.58893365,0.2419237,0.8088392850487942,AL031777.3,3.6653094,0.16010357,0.8727994852415846
408,HLA-DOA,0.7962929,0.06431574,0.9487188241060831,SLC26A3,4.004803,0.18356058,0.854358190831042,MYCN,0.23094599,0.13709716,0.8909539939075094,PLGLB1,0.36060464,0.1689557,0.8658314897340904,PIR,0.3828175,0.39324254,0.6941403476487243,C11orf96,0.028359607,0.24101473,0.8095436977198776,AC009961.1,2.8023584,0.16001256,0.8728711841008255
