Cell Type	Z-score	Cluster
Nucleus pulposus cell	-0.19922261789397572	2
Merkel cell	-0.19922261789397572	2
Glomerular parietal epithelial cell	-0.19922261789397572	2
CD4+ T cell	-0.20076990789082846	2
Retinoid acid signaling-responsive fetal germ cell	-0.202098749413392	2
AXL+SIGLEC6+ dendritic cell	-0.2026755533603939	2
Columnar epithelial cell	-0.20269733585495894	2
Retinal pigment epithelial cell	-0.2030730481358289	2
Mitotic arrest phase fetal germ cell	-0.20335374222284555	2
Myeloid cell	-0.2042461231617296	2
Granulosa cell	-0.20623793229788773	2
Osteoblast	-0.20623793229788773	2
T cell	-0.2065902512142528	2
Neural stem cell	-0.2095023087083652	2
Monocyte-derived cell	-0.20990008107496477	2
Multilymphoid progenitor cell	-0.2099419205826515	2
Activated hepatic stellate cell	-0.21293144493834842	2
Fibrochondrocyte progenitor cell	-0.21293144493834842	2
Fibrochondrocyte	-0.21293144493834842	2
Interstitial cell	-0.21293144493834842	2
Prehypertrophic chondrocyte	-0.21306496523702362	2
Cranial neural crest cell	-0.21330587125711892	2
Demyelinating microglial cell	-0.21330587125711892	2
Ensheathing glial cell	-0.21330587125711892	2
Myelinating schwann cell	-0.21453410175475213	2
Effector CD8+ memory T (Tem) cell	-0.21453410175475213	2
Cytotoxic CD4+ T cell	-0.21453410175475213	2
Sustentacular cell	-0.21540356670181587	2
Proximal tubule (PT) cell	-0.21546794051347168	2
Ciliary body cell	-0.21546794051347168	2
SLC16A7+ cell	-0.21916354533476914	2
FGFR1HighNME5- epithelial cell	-0.22160477141191656	2
Migration phase fetal germ cell	-0.22160477141191656	2
Effector chondrocyte	-0.22165877866565015	2
Hepatic cell	-0.22165877866565015	2
Pit progenitor cell	-0.22231869908532456	2
Tubular cell	-0.2226865704672772	2
Retina cell	-0.2226865704672772	2
Undifferentiated pancreatic progenitor cell	-0.2226865704672772	2
Mature osteoblast	-0.2226865704672772	2
Bone-specific cell	-0.2226865704672772	2
Pancreatic polypeptide cell	-0.2226865704672772	2
Cholangiocyte	-0.2226865704672772	2
Plasmacytoid dendritic cell	-0.2227904884021036	2
Thymic epithelial cell (TEC)	-0.2228295435862912	2
Damage-associated transient progenitor cell	-0.2228295435862912	2
Secretory epithelial Cell	-0.2228295435862912	2
Hepatocyte	-0.2228295435862912	2
Notochord cell	-0.2228295435862912	2
Ductal cell	-0.2228295435862912	2
Classical barrett’s esophagus cell	-0.2228295435862912	2
Neutrophil	-0.22299688794777622	2
CD1C-CD141- dendritic cell	-0.22299688794777622	2
Proximal tubular cell	-0.22365075288443265	2
Epithelial progenitor cell	-0.22365075288443265	2
Alpha cell (α cell)	-0.22436172799727205	2
Naive CD4+ T cell	-0.22503069851980037	2
Distal tubule & loop of Henle cell	-0.22503069851980037	2
Naive CD8 T cell	-0.22503069851980037	2
CD8+ T cell	-0.22503069851980037	2
Smooth muscle cell	-0.22527483364014714	2
Pretubular aggregate cell	-0.2265659395880365	2
CD141+CLEC9A+ dendritic cell	-0.2265659395880365	2
Ito cell (hepatic stellate cell)	-0.22839898024732405	2
Retinal astrocyte	-0.22839898024732405	2
Mid radical glial cell	-0.22839898024732405	2
Neural progenitor cell	-0.22839898024732405	2
Mature Astrocyte	-0.22839898024732405	2
Radial glial cell	-0.22839898024732405	2
Regulatory T (Treg) cell	-0.2285182887195587	2
Spermatogenic cell	-0.22881723127120057	2
Germinal center B cell	-0.22881723127120057	2
Spermatogonial cell	-0.22881723127120057	2
Mesenchymal stem cell	-0.22881723127120057	2
Disease-associated microglial cell	-0.22881723127120057	2
Dental pulp stem cell	-0.22881723127120057	2
Beta-like cell	-0.22881723127120057	2
Mesenchymal progenitor cell	-0.22881723127120057	2
Extravillous trophoblast	-0.22881723127120057	2
Basophil	-0.22881723127120057	2
Lipid-associated macrophage(LAM)	-0.22881723127120057	2
Haematopoietic cell	-0.22881723127120057	2
CD16+ monocyte	-0.22881723127120057	2
Marginal zone B cell	-0.22881723127120057	2
Classical monocyte	-0.22881723127120057	2
Periosteum-derived progenitor cell	-0.22881723127120057	2
Plasma cell	-0.22881723127120057	2
Pluripotent stem cell	-0.22881723127120057	2
Leydig cell	-0.22881723127120057	2
Megakaryocyte erythroid cell	-0.22881723127120057	2
Delta cell	-0.22881723127120057	2
Circulating fetal cell	-0.22881723127120057	2
Muscle satellite cell	-0.2293531483529214	2
Hematopoietic cell	-0.2293531483529214	2
Cortical stromal cell	-0.2293800831077379	2
Acinar cell	-0.22991557223641335	2
Primitive endoderm cell	-0.22991557223641335	2
Oligodendrocyte‐like cell	-0.23000109870510552	2
Adipocyte	-0.23080904040735867	2
Fibroblast-like cell	-0.23080904040735867	2
Proliferative fibrochondrocyte	-0.23080904040735867	2
Idiopathic pulmonary fibrosis cell	-0.23080904040735867	2
Lipofibroblast	-0.23080904040735867	2
Leptomeningeal cell	-0.23080904040735867	2
Tendon cell	-0.23080904040735867	2
Cancer-associated fibroblast	-0.23080904040735867	2
Cardiomyocyte	-0.23080904040735867	2
Epicardial cell	-0.23080904040735867	2
Granulocyte-monocyte progenitor	-0.23094256070603383	2
Podocyte	-0.23094256070603383	2
Systemic–venous endothelial cell	-0.2314702898998816	2
Oligodendrocyte	3.3793600925710927	3
Glial cell	0.5447220327065636	3
Epithelial cell	-0.32581050870482253	3
Cytotoxic CD4+ T cell	-0.3271156015066211	3
Effector CD8+ memory T (Tem) cell	-0.3271156015066211	3
Astrocyte	-0.3271156015066211	3
Fibroblast	-0.3271156015066211	3
Gonadal mitotic phase fetal germ cell	-0.3271156015066211	3
Mitotic fetal germ cell	-0.3271156015066211	3
Mature oligodendrocyte	-0.3271156015066211	3
Myelinating schwann cell	-0.3271156015066211	3
Natural killer T (NKT) cell	-0.3271156015066211	3
Neuron	-0.3271156015066211	3
Pericyte	-0.3271156015066211	3
Epithelial cell	0.21291946231225198	4
Astrocyte		5
Cortical stromal cell		5
Granulocyte		5
Lake et al.Science.Ex1		5
Leydig precursor cell		5
MKI67+ progenitor cell		5
Mesenchymal cell		5
Microglial cell		5
Mitotic arrest phase fetal germ cell		5
Oligodendrocyte progenitor cell		5
Primitive endoderm cell		5
Retinoid acid signaling-responsive fetal germ cell		5
Acinar cell	0.24589877879814986	6
